茄,茄
苔,苔
苺,苺
茅,茅
茉,茉
茸,茸
茜,茜
莞,莞
荻,荻
莫,莫
莉,莉
菅,菅
菫,菫
菖,菖
萄,萄
菩,菩
萌‐萠,萌
萊,萊
菱,菱
葦,葦
葵,葵
萱,萱
葺,葺
萩,萩
董,董
葡,葡
蓑,蓑
蒔,蒔
蒐,蒐
蒼,蒼
蒲,蒲
蒙,蒙
蓉,蓉
蓮,蓮
蔭,蔭
蔣,蔣
蔦,蔦
蓬,蓬
蔓,蔓
蕎,蕎
蕨,蕨
蕉,蕉
蕃,蕃
蕪,蕪
薙,薙
蕾,蕾
蕗,蕗
藁,藁
薩,薩
蘇,蘇
蘭,蘭
蝦,蝦
蝶,蝶
螺,螺
蟬,蟬
蟹,蟹
蠟,蠟
衿,衿
袈,袈
袴,袴
裡,裡
裟,裟
裳,裳
襖,襖
訊,訊
訣,訣
註,註
詢,詢
詫,詫
誼,誼
諏,諏
諄,諄
諒,諒
謂,謂
諺,諺
讃,讃
豹,豹
貰,貰
賑,賑
赳,赳
跨,跨
蹄,蹄
蹟,蹟
輔,輔
輯,輯
輿,輿
轟,轟
辰,辰
辻,辻
迂,迂
迄,迄
辿,辿
迪,迪
迦,迦
這,這
逞,逞
逗,逗
逢,逢
遥‐遙,遥
遁,遁
遼,遼
邑,邑
祁,祁
郁,郁
鄭,鄭
酉,酉
醇,醇
醐,醐
醍,醍
醬,醬
釉,釉
釘,釘
釧,釧
銑,銑
鋒,鋒
鋸,鋸
錘,錘
錐,錐
錆,錆
錫,錫
鍬,鍬
鎧,鎧
閃,閃
閏,閏
閤,閤
阿,阿
陀,陀
隈,隈
隼,隼
雀,雀
雁,雁
雛,雛
雫,雫
霞,霞
靖,靖
鞄,鞄
鞍,鞍
鞘,鞘
鞠,鞠
鞭,鞭
頁,頁
頌,頌
頗,頗
顚,顚
颯,颯
饗,饗
馨,馨
馴,馴
馳,馳
駕,駕
駿,駿
驍,驍
魁,魁
魯,魯
鮎,鮎
鯉,鯉
鯛,鯛
鰯,鰯
鱒,鱒
鱗,鱗
鳩,鳩
鳶,鳶
鳳,鳳
鴨,鴨
鴻,鴻
鵜,鵜
鵬,鵬
鷗,鷗
鷲,鷲
鷺,鷺
鷹,鷹
麒,麒
麟,麟
麿,麿
黎,黎
黛,黛
鼎,鼎
